duration_sec,error,from_cache,params,path,status,ts_utc
0.256,,False,"{""season"": 2024}",/teams,200,2026-02-21T20:26:35.626999+00:00
0.372,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Abilene Christian""}",/games,200,2026-02-21T20:26:36.155618+00:00
4.19,,False,"{""endDateRange"": ""2024-03-14"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Abilene Christian""}",/lineups/team,200,2026-02-21T20:26:40.498053+00:00
0.328,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Air Force""}",/games,200,2026-02-21T20:26:41.035099+00:00
1.95,,False,"{""endDateRange"": ""2024-03-13"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Air Force""}",/lineups/team,200,2026-02-21T20:26:43.137142+00:00
0.31,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Akron""}",/games,200,2026-02-21T20:26:43.621687+00:00
2.717,,False,"{""endDateRange"": ""2024-03-16"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Akron""}",/lineups/team,200,2026-02-21T20:26:46.491079+00:00
0.335,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Alabama""}",/games,200,2026-02-21T20:26:46.998735+00:00
2.511,,False,"{""endDateRange"": ""2024-03-16"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Alabama""}",/lineups/team,200,2026-02-21T20:26:49.662302+00:00
0.317,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Alabama A&M""}",/games,200,2026-02-21T20:26:50.147283+00:00
2.2,,False,"{""endDateRange"": ""2024-03-16"", ""season"": 2024, ""startDateRange"": ""2023-11-10"", ""team"": ""Alabama A&M""}",/lineups/team,200,2026-02-21T20:26:52.499845+00:00
0.325,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Alabama State""}",/games,200,2026-02-21T20:26:53.021909+00:00
3.065,,False,"{""endDateRange"": ""2024-03-14"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Alabama State""}",/lineups/team,200,2026-02-21T20:26:56.238952+00:00
0.341,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""UAlbany""}",/games,200,2026-02-21T20:26:56.767704+00:00
4.414,,False,"{""endDateRange"": ""2024-03-09"", ""season"": 2024, ""startDateRange"": ""2023-11-08"", ""team"": ""UAlbany""}",/lineups/team,200,2026-02-21T20:27:01.333984+00:00
0.44,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Alcorn State""}",/games,200,2026-02-21T20:27:01.962556+00:00
2.752,,False,"{""endDateRange"": ""2024-03-13"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Alcorn State""}",/lineups/team,200,2026-02-21T20:27:04.867244+00:00
0.327,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""American University""}",/games,200,2026-02-21T20:27:05.400548+00:00
3.169,,False,"{""endDateRange"": ""2024-03-08"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""American University""}",/lineups/team,200,2026-02-21T20:27:08.721453+00:00
0.322,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""App State""}",/games,200,2026-02-21T20:27:09.221302+00:00
2.107,,False,"{""endDateRange"": ""2024-03-10"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""App State""}",/lineups/team,200,2026-02-21T20:27:11.480775+00:00
0.328,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Arizona""}",/games,200,2026-02-21T20:27:11.973782+00:00
2.297,,False,"{""endDateRange"": ""2024-03-16"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Arizona""}",/lineups/team,200,2026-02-21T20:27:14.423150+00:00
0.515,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Arizona State""}",/games,200,2026-02-21T20:27:15.104814+00:00
2.191,,False,"{""endDateRange"": ""2024-03-14"", ""season"": 2024, ""startDateRange"": ""2023-11-09"", ""team"": ""Arizona State""}",/lineups/team,200,2026-02-21T20:27:17.447754+00:00
0.323,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Arkansas""}",/games,200,2026-02-21T20:27:17.947988+00:00
2.218,,False,"{""endDateRange"": ""2024-03-14"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Arkansas""}",/lineups/team,200,2026-02-21T20:27:20.318014+00:00
0.307,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Arkansas-Pine Bluff""}",/games,200,2026-02-21T20:27:20.816760+00:00
2.458,,False,"{""endDateRange"": ""2024-03-09"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Arkansas-Pine Bluff""}",/lineups/team,200,2026-02-21T20:27:23.426257+00:00
0.32,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Arkansas State""}",/games,200,2026-02-21T20:27:23.925220+00:00
2.114,,False,"{""endDateRange"": ""2024-03-11"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Arkansas State""}",/lineups/team,200,2026-02-21T20:27:26.191337+00:00
0.315,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Army""}",/games,200,2026-02-21T20:27:26.687735+00:00
2.029,,False,"{""endDateRange"": ""2024-03-05"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Army""}",/lineups/team,200,2026-02-21T20:27:28.868295+00:00
0.311,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Auburn""}",/games,200,2026-02-21T20:27:29.376331+00:00
3.311,,False,"{""endDateRange"": ""2024-03-17"", ""season"": 2024, ""startDateRange"": ""2023-11-08"", ""team"": ""Auburn""}",/lineups/team,200,2026-02-21T20:27:32.839666+00:00
0.317,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Austin Peay""}",/games,200,2026-02-21T20:27:33.324374+00:00
1.741,,False,"{""endDateRange"": ""2024-03-10"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Austin Peay""}",/lineups/team,200,2026-02-21T20:27:35.216870+00:00
0.308,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""BYU""}",/games,200,2026-02-21T20:27:35.691042+00:00
2.173,,False,"{""endDateRange"": ""2024-03-14"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""BYU""}",/lineups/team,200,2026-02-21T20:27:38.015523+00:00
0.336,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Ball State""}",/games,200,2026-02-21T20:27:38.520798+00:00
1.681,,False,"{""endDateRange"": ""2024-03-09"", ""season"": 2024, ""startDateRange"": ""2023-11-08"", ""team"": ""Ball State""}",/lineups/team,200,2026-02-21T20:27:40.353885+00:00
0.302,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Baylor""}",/games,200,2026-02-21T20:27:40.818573+00:00
2.105,,False,"{""endDateRange"": ""2024-03-16"", ""season"": 2024, ""startDateRange"": ""2023-11-08"", ""team"": ""Baylor""}",/lineups/team,200,2026-02-21T20:27:43.075439+00:00
0.325,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Bellarmine""}",/games,200,2026-02-21T20:27:43.567532+00:00
2.006,,False,"{""endDateRange"": ""2024-03-02"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Bellarmine""}",/lineups/team,200,2026-02-21T20:27:45.725017+00:00
0.346,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Belmont""}",/games,200,2026-02-21T20:27:46.243498+00:00
2.613,,False,"{""endDateRange"": ""2024-03-08"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Belmont""}",/lineups/team,200,2026-02-21T20:27:49.008655+00:00
0.366,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Bethune-Cookman""}",/games,200,2026-02-21T20:27:49.544139+00:00
2.081,,False,"{""endDateRange"": ""2024-03-15"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Bethune-Cookman""}",/lineups/team,200,2026-02-21T20:27:51.777098+00:00
0.404,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Binghamton""}",/games,200,2026-02-21T20:27:52.350630+00:00
1.762,,False,"{""endDateRange"": ""2024-03-09"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Binghamton""}",/lineups/team,200,2026-02-21T20:27:54.265125+00:00
0.41,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Boise State""}",/games,200,2026-02-21T20:27:54.845953+00:00
2.177,,False,"{""endDateRange"": ""2024-03-15"", ""season"": 2024, ""startDateRange"": ""2023-11-08"", ""team"": ""Boise State""}",/lineups/team,200,2026-02-21T20:27:57.175909+00:00
0.362,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Boston College""}",/games,200,2026-02-21T20:27:57.706137+00:00
2.094,,False,"{""endDateRange"": ""2024-03-15"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Boston College""}",/lineups/team,200,2026-02-21T20:27:59.951769+00:00
0.416,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Boston University""}",/games,200,2026-02-21T20:28:00.535715+00:00
3.079,,False,"{""endDateRange"": ""2024-03-10"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Boston University""}",/lineups/team,200,2026-02-21T20:28:03.766525+00:00
0.328,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Bowling Green""}",/games,200,2026-02-21T20:28:04.284368+00:00
2.165,,False,"{""endDateRange"": ""2024-03-15"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Bowling Green""}",/lineups/team,200,2026-02-21T20:28:06.601601+00:00
0.334,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Bradley""}",/games,200,2026-02-21T20:28:07.109166+00:00
2.504,,False,"{""endDateRange"": ""2024-03-09"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Bradley""}",/lineups/team,200,2026-02-21T20:28:09.764856+00:00
0.326,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Brown""}",/games,200,2026-02-21T20:28:10.262098+00:00
2.164,,False,"{""endDateRange"": ""2024-03-17"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Brown""}",/lineups/team,200,2026-02-21T20:28:12.577676+00:00
0.323,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Bryant""}",/games,200,2026-02-21T20:28:13.074102+00:00
1.971,,False,"{""endDateRange"": ""2024-03-12"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Bryant""}",/lineups/team,200,2026-02-21T20:28:15.197308+00:00
0.324,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Bucknell""}",/games,200,2026-02-21T20:28:15.686795+00:00
1.676,,False,"{""endDateRange"": ""2024-03-10"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Bucknell""}",/lineups/team,200,2026-02-21T20:28:17.515148+00:00
0.324,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Buffalo""}",/games,200,2026-02-21T20:28:18.002803+00:00
2.017,,False,"{""endDateRange"": ""2024-03-09"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Buffalo""}",/lineups/team,200,2026-02-21T20:28:20.172006+00:00
0.32,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Butler""}",/games,200,2026-02-21T20:28:20.669655+00:00
1.921,,False,"{""endDateRange"": ""2024-03-13"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Butler""}",/lineups/team,200,2026-02-21T20:28:22.742646+00:00
0.323,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""California Baptist""}",/games,200,2026-02-21T20:28:23.233061+00:00
2.597,,False,"{""endDateRange"": ""2024-03-15"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""California Baptist""}",/lineups/team,200,2026-02-21T20:28:25.981766+00:00
0.328,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Cal Poly""}",/games,200,2026-02-21T20:28:26.504564+00:00
2.435,,False,"{""endDateRange"": ""2024-03-10"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Cal Poly""}",/lineups/team,200,2026-02-21T20:28:29.091369+00:00
0.333,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Cal State Bakersfield""}",/games,200,2026-02-21T20:28:29.611813+00:00
2.537,,False,"{""endDateRange"": ""2024-03-14"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Cal State Bakersfield""}",/lineups/team,200,2026-02-21T20:28:32.300730+00:00
0.348,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Cal State Fullerton""}",/games,200,2026-02-21T20:28:32.839081+00:00
1.723,,False,"{""endDateRange"": ""2024-03-10"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Cal State Fullerton""}",/lineups/team,200,2026-02-21T20:28:34.714404+00:00
0.336,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Cal State Northridge""}",/games,200,2026-02-21T20:28:35.232761+00:00
2.385,,False,"{""endDateRange"": ""2024-03-15"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Cal State Northridge""}",/lineups/team,200,2026-02-21T20:28:37.769146+00:00
0.333,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""California""}",/games,200,2026-02-21T20:28:38.274967+00:00
1.526,,False,"{""endDateRange"": ""2024-03-14"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""California""}",/lineups/team,200,2026-02-21T20:28:39.952776+00:00
0.309,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Campbell""}",/games,200,2026-02-21T20:28:40.431987+00:00
1.905,,False,"{""endDateRange"": ""2024-03-09"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Campbell""}",/lineups/team,200,2026-02-21T20:28:42.488982+00:00
0.321,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Canisius""}",/games,200,2026-02-21T20:28:42.986928+00:00
1.596,,False,"{""endDateRange"": ""2024-03-13"", ""season"": 2024, ""startDateRange"": ""2023-11-09"", ""team"": ""Canisius""}",/lineups/team,200,2026-02-21T20:28:44.735351+00:00
0.307,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Central Arkansas""}",/games,200,2026-02-21T20:28:45.208902+00:00
2.383,,False,"{""endDateRange"": ""2024-03-02"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Central Arkansas""}",/lineups/team,200,2026-02-21T20:28:47.744152+00:00
0.304,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Central Connecticut""}",/games,200,2026-02-21T20:28:48.234718+00:00
1.571,,False,"{""endDateRange"": ""2024-03-09"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Central Connecticut""}",/lineups/team,200,2026-02-21T20:28:49.957665+00:00
0.318,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Central Michigan""}",/games,200,2026-02-21T20:28:50.443661+00:00
2.189,,False,"{""endDateRange"": ""2024-03-14"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Central Michigan""}",/lineups/team,200,2026-02-21T20:28:52.784357+00:00
0.336,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Charleston""}",/games,200,2026-02-21T20:28:53.291893+00:00
3.045,,False,"{""endDateRange"": ""2024-03-12"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Charleston""}",/lineups/team,200,2026-02-21T20:28:56.489357+00:00
0.355,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Charleston Southern""}",/games,200,2026-02-21T20:28:57.020049+00:00
1.8,,False,"{""endDateRange"": ""2024-03-08"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Charleston Southern""}",/lineups/team,200,2026-02-21T20:28:58.971576+00:00
0.346,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Charlotte""}",/games,200,2026-02-21T20:28:59.491042+00:00
1.923,,False,"{""endDateRange"": ""2024-03-16"", ""season"": 2024, ""startDateRange"": ""2023-11-07"", ""team"": ""Charlotte""}",/lineups/team,200,2026-02-21T20:29:01.565661+00:00
0.387,,False,"{""season"": 2024, ""seasonType"": ""regular"", ""team"": ""Chattanooga""}",/games,200,2026-02-21T20:29:02.119865+00:00
