conference,team_id,team_name
WAC,1,Abilene Christian
Mountain West,2,Air Force
MAC,3,Akron
SEC,5,Alabama
SWAC,4,Alabama A&M
SWAC,6,Alabama State
Am. East,306,UAlbany
SWAC,7,Alcorn State
Patriot,8,American University
Sun Belt,9,App State
Pac-12,11,Arizona
Pac-12,10,Arizona State
SEC,12,Arkansas
SWAC,14,Arkansas-Pine Bluff
Sun Belt,13,Arkansas State
Patriot,15,Army
SEC,16,Auburn
ASUN,17,Austin Peay
Big 12,18,BYU
MAC,19,Ball State
Big 12,20,Baylor
ASUN,21,Bellarmine
MVC,22,Belmont
SWAC,23,Bethune-Cookman
Am. East,24,Binghamton
Mountain West,25,Boise State
ACC,26,Boston College
Patriot,27,Boston University
MAC,28,Bowling Green
MVC,29,Bradley
Ivy,30,Brown
Am. East,31,Bryant
Patriot,32,Bucknell
MAC,33,Buffalo
Big East,34,Butler
WAC,39,California Baptist
Big West,35,Cal Poly
Big West,36,Cal State Bakersfield
Big West,37,Cal State Fullerton
Big West,38,Cal State Northridge
Pac-12,40,California
CAA,41,Campbell
MAAC,42,Canisius
ASUN,43,Central Arkansas
NEC,44,Central Connecticut
MAC,45,Central Michigan
CAA,46,Charleston
Big South,47,Charleston Southern
American,48,Charlotte
SoCon,49,Chattanooga
Indep.,50,Chicago State
Big 12,51,Cincinnati
ACC,52,Clemson
Horizon,53,Cleveland State
Sun Belt,54,Coastal Carolina
Patriot,55,Colgate
Pac-12,56,Colorado
Mountain West,57,Colorado State
Ivy,58,Columbia
Big East,314,UConn
MEAC,59,Coppin State
Ivy,60,Cornell
Big East,61,Creighton
Ivy,62,Dartmouth
A-10,63,Davidson
A-10,64,Dayton
Big East,65,DePaul
CAA,66,Delaware
MEAC,67,Delaware State
Summit,68,Denver
Horizon,69,Detroit Mercy
MVC,70,Drake
CAA,71,Drexel
ACC,72,Duke
A-10,73,Duquesne
American,74,East Carolina
SoCon,75,East Tennessee State
Southland,76,East Texas A&M
OVC,77,Eastern Illinois
ASUN,78,Eastern Kentucky
MAC,79,Eastern Michigan
Big Sky,80,Eastern Washington
CAA,81,Elon
MVC,82,Evansville
CUSA,89,Florida International
MAAC,83,Fairfield
NEC,84,Fairleigh Dickinson
SEC,87,Florida
SWAC,85,Florida A&M
American,86,Florida Atlantic
ASUN,88,Florida Gulf Coast
ACC,90,Florida State
A-10,91,Fordham
Mountain West,92,Fresno State
SoCon,93,Furman
Big South,94,Gardner-Webb
A-10,95,George Mason
A-10,96,George Washington
Big East,97,Georgetown
SEC,98,Georgia
Sun Belt,99,Georgia Southern
Sun Belt,100,Georgia State
ACC,101,Georgia Tech
WCC,102,Gonzaga
SWAC,103,Grambling
WAC,104,Grand Canyon
Horizon,105,Green Bay
CAA,106,Hampton
Ivy,107,Harvard
Big West,108,Hawai'i
Big South,109,High Point
CAA,110,Hofstra
Patriot,111,Holy Cross
Big 12,113,Houston
Southland,112,Houston Christian
MEAC,114,Howard
Horizon,115,IU Indianapolis
Big Sky,117,Idaho
Big Sky,116,Idaho State
Big Ten,118,Illinois
MVC,315,UIC
MVC,119,Illinois State
Southland,120,Incarnate Word
Big Ten,121,Indiana
MVC,122,Indiana State
MAAC,123,Iona
Big Ten,124,Iowa
Big 12,125,Iowa State
SWAC,126,Jackson State
ASUN,127,Jacksonville
CUSA,128,Jacksonville State
Sun Belt,129,James Madison
Big 12,131,Kansas
Big 12,132,Kansas State
ASUN,133,Kennesaw State
MAC,134,Kent State
SEC,135,Kentucky
SEC,136,LSU
A-10,137,La Salle
Patriot,138,Lafayette
Southland,139,Lamar
NEC,140,Le Moyne
