duration_sec,error,from_cache,params,path,status,ts_utc
0.0,,True,"{""season"": 2026}",/teams,200,2026-03-08T04:43:53.663551+00:00
0.398,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Iona""}",/games,200,2026-03-08T04:43:54.067081+00:00
5.454,,False,"{""season"": 2026, ""team"": ""Iona""}",/plays/team,200,2026-03-08T04:43:59.672951+00:00
0.3,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Iowa""}",/games,200,2026-03-08T04:44:01.339317+00:00
5.117,,False,"{""season"": 2026, ""team"": ""Iowa""}",/plays/team,200,2026-03-08T04:44:06.608639+00:00
0.242,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Iowa State""}",/games,200,2026-03-08T04:44:08.009092+00:00
4.887,,False,"{""season"": 2026, ""team"": ""Iowa State""}",/plays/team,200,2026-03-08T04:44:13.048479+00:00
0.257,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Jackson State""}",/games,200,2026-03-08T04:44:14.647382+00:00
5.575,,False,"{""season"": 2026, ""team"": ""Jackson State""}",/plays/team,200,2026-03-08T04:44:20.374387+00:00
0.258,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Jacksonville""}",/games,200,2026-03-08T04:44:22.009838+00:00
5.279,,False,"{""season"": 2026, ""team"": ""Jacksonville""}",/plays/team,200,2026-03-08T04:44:27.441343+00:00
0.274,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Jacksonville State""}",/games,200,2026-03-08T04:44:29.091131+00:00
5.689,,False,"{""season"": 2026, ""team"": ""Jacksonville State""}",/plays/team,200,2026-03-08T04:44:34.932743+00:00
0.24,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""James Madison""}",/games,200,2026-03-08T04:44:36.547352+00:00
5.824,,False,"{""season"": 2026, ""team"": ""James Madison""}",/plays/team,200,2026-03-08T04:44:42.523993+00:00
0.24,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Kansas""}",/games,200,2026-03-08T04:44:44.238508+00:00
5.374,,False,"{""season"": 2026, ""team"": ""Kansas""}",/plays/team,200,2026-03-08T04:44:49.764523+00:00
0.257,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Kansas State""}",/games,200,2026-03-08T04:44:51.355543+00:00
5.5,,False,"{""season"": 2026, ""team"": ""Kansas State""}",/plays/team,200,2026-03-08T04:44:57.007925+00:00
0.237,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Kennesaw State""}",/games,200,2026-03-08T04:44:58.658851+00:00
7.282,,False,"{""season"": 2026, ""team"": ""Kennesaw State""}",/plays/team,200,2026-03-08T04:45:06.092914+00:00
0.216,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Kent State""}",/games,200,2026-03-08T04:45:07.714975+00:00
5.683,,False,"{""season"": 2026, ""team"": ""Kent State""}",/plays/team,200,2026-03-08T04:45:13.550502+00:00
0.258,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Kentucky""}",/games,200,2026-03-08T04:45:15.303438+00:00
6.472,,False,"{""season"": 2026, ""team"": ""Kentucky""}",/plays/team,200,2026-03-08T04:45:21.927998+00:00
0.251,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""LSU""}",/games,200,2026-03-08T04:45:23.597966+00:00
5.065,,False,"{""season"": 2026, ""team"": ""LSU""}",/plays/team,200,2026-03-08T04:45:28.815407+00:00
0.298,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""La Salle""}",/games,200,2026-03-08T04:45:30.461596+00:00
5.291,,False,"{""season"": 2026, ""team"": ""La Salle""}",/plays/team,200,2026-03-08T04:45:35.905130+00:00
0.248,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Lafayette""}",/games,200,2026-03-08T04:45:37.501433+00:00
5.164,,False,"{""season"": 2026, ""team"": ""Lafayette""}",/plays/team,200,2026-03-08T04:45:42.817788+00:00
0.274,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Lamar""}",/games,200,2026-03-08T04:45:44.425309+00:00
5.754,,False,"{""season"": 2026, ""team"": ""Lamar""}",/plays/team,200,2026-03-08T04:45:50.331932+00:00
0.259,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Le Moyne""}",/games,200,2026-03-08T04:45:51.992655+00:00
5.808,,False,"{""season"": 2026, ""team"": ""Le Moyne""}",/plays/team,200,2026-03-08T04:45:57.952767+00:00
0.27,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Lehigh""}",/games,200,2026-03-08T04:45:59.566942+00:00
7.168,,False,"{""season"": 2026, ""team"": ""Lehigh""}",/plays/team,200,2026-03-08T04:46:06.887787+00:00
0.271,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Liberty""}",/games,200,2026-03-08T04:46:08.569884+00:00
5.325,,False,"{""season"": 2026, ""team"": ""Liberty""}",/plays/team,200,2026-03-08T04:46:14.046668+00:00
0.32,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Lindenwood""}",/games,200,2026-03-08T04:46:15.592289+00:00
6.185,,False,"{""season"": 2026, ""team"": ""Lindenwood""}",/plays/team,200,2026-03-08T04:46:21.929771+00:00
0.274,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Lipscomb""}",/games,200,2026-03-08T04:46:23.678279+00:00
6.827,,False,"{""season"": 2026, ""team"": ""Lipscomb""}",/plays/team,200,2026-03-08T04:46:30.657890+00:00
0.262,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Little Rock""}",/games,200,2026-03-08T04:46:32.341963+00:00
5.416,,False,"{""season"": 2026, ""team"": ""Little Rock""}",/plays/team,200,2026-03-08T04:46:37.910797+00:00
0.235,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Long Beach State""}",/games,200,2026-03-08T04:46:39.446068+00:00
5.45,,False,"{""season"": 2026, ""team"": ""Long Beach State""}",/plays/team,200,2026-03-08T04:46:45.048041+00:00
0.243,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Longwood""}",/games,200,2026-03-08T04:46:46.689683+00:00
6.318,,False,"{""season"": 2026, ""team"": ""Longwood""}",/plays/team,200,2026-03-08T04:46:53.159526+00:00
0.251,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Louisiana""}",/games,200,2026-03-08T04:46:54.924998+00:00
5.663,,False,"{""season"": 2026, ""team"": ""Louisiana""}",/plays/team,200,2026-03-08T04:47:00.740636+00:00
0.296,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""UL Monroe""}",/games,200,2026-03-08T04:47:03.554101+00:00
5.729,,False,"{""season"": 2026, ""team"": ""UL Monroe""}",/plays/team,200,2026-03-08T04:47:09.435210+00:00
0.256,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Louisiana Tech""}",/games,200,2026-03-08T04:47:11.077070+00:00
4.865,,False,"{""season"": 2026, ""team"": ""Louisiana Tech""}",/plays/team,200,2026-03-08T04:47:16.094014+00:00
0.277,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Louisville""}",/games,200,2026-03-08T04:47:17.723618+00:00
5.775,,False,"{""season"": 2026, ""team"": ""Louisville""}",/plays/team,200,2026-03-08T04:47:23.650454+00:00
0.286,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Loyola Chicago""}",/games,200,2026-03-08T04:47:25.367616+00:00
5.483,,False,"{""season"": 2026, ""team"": ""Loyola Chicago""}",/plays/team,200,2026-03-08T04:47:31.002993+00:00
0.298,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Loyola Maryland""}",/games,200,2026-03-08T04:47:32.717614+00:00
5.963,,False,"{""season"": 2026, ""team"": ""Loyola Maryland""}",/plays/team,200,2026-03-08T04:47:38.833041+00:00
0.266,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Loyola Marymount""}",/games,200,2026-03-08T04:47:41.932928+00:00
5.423,,False,"{""season"": 2026, ""team"": ""Loyola Marymount""}",/plays/team,200,2026-03-08T04:47:47.507985+00:00
0.229,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Maine""}",/games,200,2026-03-08T04:47:49.127730+00:00
5.156,,False,"{""season"": 2026, ""team"": ""Maine""}",/plays/team,200,2026-03-08T04:47:54.436307+00:00
0.283,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Manhattan""}",/games,200,2026-03-08T04:47:56.011225+00:00
5.555,,False,"{""season"": 2026, ""team"": ""Manhattan""}",/plays/team,200,2026-03-08T04:48:01.718969+00:00
0.302,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Marist""}",/games,200,2026-03-08T04:48:03.356232+00:00
5.276,,False,"{""season"": 2026, ""team"": ""Marist""}",/plays/team,200,2026-03-08T04:48:08.784518+00:00
